"Timestamp","RunId","Step","StepMs","TotalMs"
"2026-02-12 14:42:14","20260212_144214_675","Startup-TempCleanup (deleted=0 failed=0)","99.45","255.61"
"2026-02-12 14:43:36","20260212_144336_348","Load-Config","644.73","922.35"
"2026-02-12 14:43:36","20260212_144336_348","Apply-UiTheme","73.67","922.35"
"2026-02-12 14:43:36","20260212_144336_348","Ensure-Folders","30.04","922.35"
"2026-02-12 14:43:36","20260212_144336_348","Startup-TempCleanup (deleted=0 failed=0)","173.6","922.35"
"2026-02-12 14:43:43","20260212_144343_047","Load-Config","94.94","209.18"
"2026-02-12 14:43:43","20260212_144343_047","Apply-UiTheme","23.84","209.18"
"2026-02-12 14:43:43","20260212_144343_047","Ensure-Folders","26.82","209.18"
"2026-02-12 14:43:43","20260212_144343_047","Startup-TempCleanup (deleted=0 failed=0)","63.39","209.18"
"2026-02-12 14:47:05","20260212_144705_513","Load-Config","148.83","361.08"
"2026-02-12 14:47:05","20260212_144705_513","Apply-UiTheme","41.87","361.08"
"2026-02-12 14:47:05","20260212_144705_513","Ensure-Folders","10.54","361.08"
"2026-02-12 14:47:05","20260212_144705_513","Startup-TempCleanup (deleted=0 failed=0)","159.52","361.08"
"2026-02-12 15:01:27","20260212_150127_903","Load-Config","119.11","283.57"
"2026-02-12 15:01:27","20260212_150127_903","Apply-UiTheme","30.61","283.57"
"2026-02-12 15:01:27","20260212_150127_903","Ensure-Folders","10.4","283.57"
"2026-02-12 15:01:27","20260212_150127_903","Startup-TempCleanup (deleted=0 failed=0)","123.21","283.57"
"2026-02-12 15:05:14","20260212_150513_999","Load-Config","95.76","212.02"
"2026-02-12 15:05:14","20260212_150513_999","Apply-UiTheme","23.52","212.02"
"2026-02-12 15:05:14","20260212_150513_999","Ensure-Folders","7.22","212.02"
"2026-02-12 15:05:14","20260212_150513_999","Startup-TempCleanup (deleted=0 failed=0)","85.2","212.02"
"2026-02-12 15:16:00","20260212_151600_321","Load-Config","110.46","448.75"
"2026-02-12 15:16:00","20260212_151600_321","Apply-UiTheme","25.26","448.75"
"2026-02-12 15:16:00","20260212_151600_321","Ensure-Folders","12.38","448.75"
"2026-02-12 15:16:00","20260212_151600_321","Startup-TempCleanup (deleted=0 failed=0)","300.44","448.75"
"2026-02-12 15:38:20","20260212_153820_588","Load-Config","93.88","210.34"
"2026-02-12 15:38:20","20260212_153820_588","Apply-UiTheme","24.43","210.34"
"2026-02-12 15:38:20","20260212_153820_588","Ensure-Folders","6.79","210.34"
"2026-02-12 15:38:20","20260212_153820_588","Startup-TempCleanup (deleted=0 failed=0)","85.09","210.34"
"2026-02-12 15:57:50","20260212_155750_864","Load-Config","91.52","199.29"
"2026-02-12 15:57:50","20260212_155750_864","Apply-UiTheme","23.85","199.29"
"2026-02-12 15:57:50","20260212_155750_864","Ensure-Folders","6.64","199.29"
"2026-02-12 15:57:50","20260212_155750_864","Startup-TempCleanup (deleted=0 failed=0)","77.03","199.29"
"2026-02-12 17:03:48","20260212_170348_324","Load-Config","84.93","195.79"
"2026-02-12 17:03:48","20260212_170348_324","Apply-UiTheme","22.3","195.79"
"2026-02-12 17:03:48","20260212_170348_324","Ensure-Folders","6.91","195.79"
"2026-02-12 17:03:48","20260212_170348_324","Startup-TempCleanup (deleted=0 failed=0)","81.34","195.79"
"2026-02-12 17:07:33","20260212_170733_478","Load-Config","84.31","193.84"
"2026-02-12 17:07:33","20260212_170733_478","Apply-UiTheme","24.4","193.84"
"2026-02-12 17:07:33","20260212_170733_478","Ensure-Folders","6.54","193.84"
"2026-02-12 17:07:33","20260212_170733_478","Startup-TempCleanup (deleted=0 failed=0)","78.33","193.84"
"2026-02-12 19:07:18","20260212_190718_440","Load-Config","125.75","306.04"
"2026-02-12 19:07:18","20260212_190718_440","Apply-UiTheme","32.12","306.04"
"2026-02-12 19:07:18","20260212_190718_440","Ensure-Folders","9.51","306.04"
"2026-02-12 19:07:18","20260212_190718_440","Startup-TempCleanup (deleted=0 failed=0)","138.32","306.04"
"2026-02-12 19:11:21","20260212_191121_263","Load-Config","112","259.97"
"2026-02-12 19:11:21","20260212_191121_263","Apply-UiTheme","27","259.97"
"2026-02-12 19:11:21","20260212_191121_263","Ensure-Folders","9.31","259.97"
"2026-02-12 19:11:21","20260212_191121_263","Startup-TempCleanup (deleted=0 failed=0)","111.4","259.97"
"2026-02-12 19:18:55","20260212_191855_303","Load-Config","98.34","231.52"
"2026-02-12 19:18:55","20260212_191855_303","Apply-UiTheme","25.94","231.52"
"2026-02-12 19:18:55","20260212_191855_303","Ensure-Folders","7.78","231.52"
"2026-02-12 19:18:55","20260212_191855_303","Startup-TempCleanup (deleted=0 failed=0)","99.23","231.52"
"2026-02-12 19:26:08","20260212_192608_301","Load-Config","111.33","217.59"
"2026-02-12 19:26:08","20260212_192608_301","Apply-UiTheme","27.46","217.59"
"2026-02-12 19:26:08","20260212_192608_301","Ensure-Folders","28.85","217.59"
"2026-02-12 19:26:08","20260212_192608_301","Startup-TempCleanup (deleted=0 failed=0)","49.71","217.59"
"2026-02-12 19:28:36","20260212_192836_286","Load-Config","192.76","344.28"
"2026-02-12 19:28:36","20260212_192836_286","Apply-UiTheme","33.31","344.28"
"2026-02-12 19:28:36","20260212_192836_286","Ensure-Folders","10.58","344.28"
"2026-02-12 19:28:36","20260212_192836_286","Startup-TempCleanup (deleted=0 failed=0)","107.25","344.28"
"2026-02-12 19:31:53","20260212_193153_086","Load-Config","99.96","214.2"
"2026-02-12 19:31:53","20260212_193153_086","Apply-UiTheme","24.95","214.2"
"2026-02-12 19:31:53","20260212_193153_086","Ensure-Folders","7.49","214.2"
"2026-02-12 19:31:53","20260212_193153_086","Startup-TempCleanup (deleted=0 failed=0)","81.55","214.2"
"2026-02-12 19:43:15","20260212_194315_902","Load-Config","165.96","352.47"
"2026-02-12 19:43:15","20260212_194315_902","Apply-UiTheme","38.42","352.47"
"2026-02-12 19:43:15","20260212_194315_902","Ensure-Folders","12.79","352.47"
"2026-02-12 19:43:15","20260212_194315_902","Startup-TempCleanup (deleted=0 failed=0)","134.88","352.47"
"2026-02-12 19:45:42","20260212_194542_915","Load-Config","95.56","217.32"
"2026-02-12 19:45:42","20260212_194542_915","Apply-UiTheme","25.81","217.32"
"2026-02-12 19:45:42","20260212_194542_915","Ensure-Folders","7.73","217.32"
"2026-02-12 19:45:42","20260212_194542_915","Startup-TempCleanup (deleted=0 failed=0)","88","217.32"
"2026-02-12 19:48:10","20260212_194810_748","Load-Config","98.26","219.33"
"2026-02-12 19:48:10","20260212_194810_748","Apply-UiTheme","24.86","219.33"
"2026-02-12 19:48:10","20260212_194810_748","Ensure-Folders","7.32","219.33"
"2026-02-12 19:48:10","20260212_194810_748","Startup-TempCleanup (deleted=0 failed=0)","88.62","219.33"
"2026-02-12 19:50:38","20260212_195038_703","Load-Config","96.36","211.76"
"2026-02-12 19:50:38","20260212_195038_703","Apply-UiTheme","24.62","211.76"
"2026-02-12 19:50:38","20260212_195038_703","Ensure-Folders","7.44","211.76"
"2026-02-12 19:50:38","20260212_195038_703","Startup-TempCleanup (deleted=0 failed=0)","83.01","211.76"
"2026-02-12 19:55:16","20260212_195516_578","Load-Config","112.64","239.79"
"2026-02-12 19:55:16","20260212_195516_578","Apply-UiTheme","27.12","239.79"
"2026-02-12 19:55:16","20260212_195516_578","Ensure-Folders","8.15","239.79"
"2026-02-12 19:55:16","20260212_195516_578","Startup-TempCleanup (deleted=0 failed=0)","91.64","239.79"
"2026-02-12 19:58:39","20260212_195839_438","Load-Config","103.03","221.72"
"2026-02-12 19:58:39","20260212_195839_438","Apply-UiTheme","25.89","221.72"
"2026-02-12 19:58:39","20260212_195839_438","Ensure-Folders","7.71","221.72"
"2026-02-12 19:58:39","20260212_195839_438","Startup-TempCleanup (deleted=0 failed=0)","84.75","221.72"
"2026-02-12 20:01:23","20260212_200123_061","Load-Config","99.84","230.66"
"2026-02-12 20:01:23","20260212_200123_061","Apply-UiTheme","27.76","230.66"
"2026-02-12 20:01:23","20260212_200123_061","Ensure-Folders","8.99","230.66"
"2026-02-12 20:01:23","20260212_200123_061","Startup-TempCleanup (deleted=0 failed=0)","93.85","230.66"
"2026-02-12 20:02:00","20260212_200200_844","Load-Config","94.23","210.31"
"2026-02-12 20:02:00","20260212_200200_844","Apply-UiTheme","24.72","210.31"
"2026-02-12 20:02:00","20260212_200200_844","Ensure-Folders","7.31","210.31"
"2026-02-12 20:02:00","20260212_200200_844","Startup-TempCleanup (deleted=0 failed=0)","83.75","210.31"
"2026-02-12 20:04:41","20260212_200441_705","Load-Config","107.57","301.72"
"2026-02-12 20:04:41","20260212_200441_705","Apply-UiTheme","31.41","301.72"
"2026-02-12 20:04:41","20260212_200441_705","Ensure-Folders","15.5","301.72"
"2026-02-12 20:04:41","20260212_200441_705","Startup-TempCleanup (deleted=0 failed=0)","147.02","301.72"
"2026-02-12 20:04:49","20260212_200449_250","Load-Config","93.87","227.24"
"2026-02-12 20:04:49","20260212_200449_250","Apply-UiTheme","24.86","227.24"
"2026-02-12 20:04:49","20260212_200449_250","Ensure-Folders","7.29","227.24"
"2026-02-12 20:04:49","20260212_200449_250","Startup-TempCleanup (deleted=0 failed=0)","100.91","227.24"
"2026-02-12 20:17:33","20260212_201733_281","Load-Config","132.18","313.87"
"2026-02-12 20:17:33","20260212_201733_281","Apply-UiTheme","35.43","313.87"
"2026-02-12 20:17:33","20260212_201733_281","Ensure-Folders","13.16","313.87"
"2026-02-12 20:17:33","20260212_201733_281","Startup-TempCleanup (deleted=0 failed=0)","132.86","313.87"
"2026-02-12 20:19:48","20260212_201948_380","Load-Config","108.02","235.39"
"2026-02-12 20:19:48","20260212_201948_380","Apply-UiTheme","27.97","235.39"
"2026-02-12 20:19:48","20260212_201948_380","Ensure-Folders","7.97","235.39"
"2026-02-12 20:19:48","20260212_201948_380","Startup-TempCleanup (deleted=0 failed=0)","91.21","235.39"
"2026-02-13 15:02:52","20260213_150252_872","Load-Config","251.2","524.68"
"2026-02-13 15:02:52","20260213_150252_872","Apply-UiTheme","61.23","524.68"
"2026-02-13 15:02:52","20260213_150252_872","Ensure-Folders","24.34","524.68"
"2026-02-13 15:02:52","20260213_150252_872","Startup-TempCleanup (deleted=0 failed=0)","187.63","524.68"
"2026-02-13 15:02:59","20260213_150259_635","Load-Config","164.76","408.73"
"2026-02-13 15:02:59","20260213_150259_635","Apply-UiTheme","53.91","408.73"
"2026-02-13 15:02:59","20260213_150259_635","Ensure-Folders","14.01","408.73"
"2026-02-13 15:02:59","20260213_150259_635","Startup-TempCleanup (deleted=0 failed=0)","175.82","408.73"
"2026-02-14 07:51:43","20260214_075143_028","Load-Config","218.08","369.44"
"2026-02-14 07:51:43","20260214_075143_028","Apply-UiTheme","38.81","369.44"
"2026-02-14 07:51:43","20260214_075143_028","Ensure-Folders","13.88","369.44"
"2026-02-14 07:51:43","20260214_075143_028","Startup-TempCleanup (deleted=0 failed=0)","98.44","369.44"
"2026-02-14 07:52:42","20260214_075242_628","Load-Config","104.12","244.33"
"2026-02-14 07:52:42","20260214_075242_628","Apply-UiTheme","26.61","244.33"
"2026-02-14 07:52:42","20260214_075242_628","Ensure-Folders","7.84","244.33"
"2026-02-14 07:52:42","20260214_075242_628","Startup-TempCleanup (deleted=0 failed=0)","105.6","244.33"
"2026-02-14 07:53:44","20260214_075344_798","Load-Config","124.63","267.91"
"2026-02-14 07:53:44","20260214_075344_798","Apply-UiTheme","29.75","267.91"
"2026-02-14 07:53:44","20260214_075344_798","Ensure-Folders","9.59","267.91"
"2026-02-14 07:53:44","20260214_075344_798","Startup-TempCleanup (deleted=0 failed=0)","103.57","267.91"
"2026-02-14 07:58:22","20260214_075822_872","Load-Config","99.06","229.16"
"2026-02-14 07:58:22","20260214_075822_872","Apply-UiTheme","28","229.16"
"2026-02-14 07:58:22","20260214_075822_872","Ensure-Folders","7.22","229.16"
"2026-02-14 07:58:22","20260214_075822_872","Startup-TempCleanup (deleted=0 failed=0)","94.68","229.16"
"2026-02-14 12:23:40","20260214_122340_081","Load-Config","165.89","358.26"
"2026-02-14 12:23:40","20260214_122340_081","Apply-UiTheme","39.82","358.26"
"2026-02-14 12:23:40","20260214_122340_081","Ensure-Folders","12.92","358.26"
